,Airline,Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Equipment,Original Airline,Src City,Dest City,Airline Name
59435,US,5265,JFK,3797,IST,1701,330 77W,US,New York,Istanbul,Turkish Airlines
59436,US,5265,JFK,3797,JNB,813,346,US,New York,Johannesburg,Turkish Airlines
59437,US,5265,JFK,3797,LAS,3877,738,US,New York,Las Vegas,Turkish Airlines
59438,US,5265,JFK,3797,LAX,3484,32B 762,US,New York,Los Angeles,Turkish Airlines
59439,US,5265,JFK,3797,LHR,507,77W,US,New York,London,Turkish Airlines
59440,US,5265,JFK,3797,MAD,1229,757,US,New York,Madrid,Turkish Airlines
59441,US,5265,JFK,3797,MAN,478,757,US,New York,Manchester,Turkish Airlines
59442,US,5265,JFK,3797,MCO,3878,763 757,US,New York,Orlando,Turkish Airlines
59443,US,5265,JFK,3797,MDE,2745,319,US,New York,Rio Negro,Turkish Airlines
59444,US,5265,JFK,3797,MIA,3576,757 738,US,New York,Miami,Turkish Airlines
59445,US,5265,JFK,3797,MXP,1524,763,US,New York,Milano,Turkish Airlines
59446,US,5265,JFK,3797,ORD,3830,738,US,New York,Chicago,Turkish Airlines
59447,US,5265,JFK,3797,ORF,3611,ER4,US,New York,Norfolk,Turkish Airlines
59448,US,5265,JFK,3797,PEK,3364,773,US,New York,Beijing,Turkish Airlines
59449,US,5265,JFK,3797,PHX,3462,321,US,New York,Phoenix,Turkish Airlines
59450,US,5265,JFK,3797,PIT,3570,ER4,US,New York,Pittsburgh,Turkish Airlines
59451,US,5265,JFK,3797,RDU,3626,ERD CR7,US,New York,Raleigh-durham,Turkish Airlines
59452,US,5265,JFK,3797,SAL,1892,320,US,New York,San Salvador,Turkish Airlines
59453,US,5265,JFK,3797,SAN,3731,738,US,New York,San Diego,Turkish Airlines
59454,US,5265,JFK,3797,SEA,3577,738,US,New York,Seattle,Turkish Airlines
59455,US,5265,JFK,3797,SFO,3469,32B 763,US,New York,San Francisco,Turkish Airlines
59456,US,5265,JFK,3797,SJO,1885,738,US,New York,San Jose,Turkish Airlines
59457,US,5265,JFK,3797,SJU,2890,757,US,New York,San Juan,Turkish Airlines
59458,US,5265,JFK,3797,STT,2883,757,US,New York,St. Thomas,Turkish Airlines
